Krankenkasse,Jahr,Quartal,time,churn_rel,predicted_effect_cf
aok hessen,2018,1,2018 Q1,0.16014586192355412,1.0957185905010451
aok hessen,2018,2,2018 Q2,0.415259214552487,1.3205773961211802
aok hessen,2018,3,2018 Q3,0.40619044579966923,-0.2895934946383626
aok hessen,2018,4,2018 Q4,0.7135092861608324,-0.31355583474892423
aok hessen,2019,1,2019 Q1,0.002476554617216528,0.5099404885803518
aok hessen,2019,2,2019 Q2,0.43634213953042494,0.9080055626524978
aok hessen,2019,3,2019 Q3,-0.05130318031994095,0.061977813967734115
aok hessen,2019,4,2019 Q4,0.588339685194897,0.40223842598356485
aok hessen,2020,1,2020 Q1,-0.08663111758097439,0.15502249990338746
aok hessen,2020,2,2020 Q2,0.1673153137459072,0.03436953933131128
aok hessen,2020,3,2020 Q3,0.08735191676192373,-0.20539418705310383
aok hessen,2020,4,2020 Q4,0.33528077889397623,-0.1216395544686626
aok hessen,2021,1,2021 Q1,-0.4446025813399163,0.34470645524769944
aok hessen,2021,2,2021 Q2,-0.39930418281015256,0.3545297467898207
aok hessen,2021,3,2021 Q3,0.049140634303179456,0.2072874624924736
aok hessen,2021,4,2021 Q4,0.1912290153927455,0.599579927190263
aok hessen,2022,1,2022 Q1,-0.39012290534648947,0.5627197779958439
aok hessen,2022,2,2022 Q2,-0.14366890796523643,0.20616529260491875
aok hessen,2022,3,2022 Q3,0.6781342509948676,0.20939248191237544
aok hessen,2022,4,2022 Q4,0.9146175095673025,0.4913055480807958
aok hessen,2023,1,2023 Q1,0.11371223828944192,0.7086934162857824
aok hessen,2023,2,2023 Q2,-0.19366267468976006,0.557439797116393
aok hessen,2023,3,2023 Q3,0.11858777024403827,0.6210545550380547
aok hessen,2023,4,2023 Q4,0.28632599487511723,0.5318788701475411
aok hessen,2024,1,2024 Q1,0.002734007617726368,0.35619587313429985
aok hessen,2024,2,2024 Q2,-0.12365187817282675,0.5424277056052922
aok hessen,2024,3,2024 Q3,0.161814575668844,0.5533906148577346
aok hessen,2024,4,2024 Q4,0.31818710651186505,0.4590670027150715
aok hessen,2025,1,2025 Q1,-0.250084061869536,0.3293992535316586
aok niedersachsen,2016,1,2016 Q1,3.0735992736124347,0.7373151426065125
aok niedersachsen,2016,2,2016 Q2,1.3254942102507317,0.14984840904960606
aok niedersachsen,2016,3,2016 Q3,0.9591828414494484,0.3153772888475336
aok niedersachsen,2016,4,2016 Q4,1.5480329157591721,0.6354685010359458
aok niedersachsen,2017,1,2017 Q1,0.43406969387886846,1.3168952175332624
aok niedersachsen,2017,2,2017 Q2,1.2863996544507463,1.5815566060358868
aok niedersachsen,2017,3,2017 Q3,1.3282924152188074,0.6359741381929692
aok niedersachsen,2017,4,2017 Q4,1.6414559567034803,0.26863973303661404
aok niedersachsen,2018,1,2018 Q1,0.37660086174558444,0.4547302575694767
aok niedersachsen,2018,2,2018 Q2,1.013154657461795,0.04769827250070234
aok niedersachsen,2018,3,2018 Q3,1.0662419589449201,-0.13198875931503445
aok niedersachsen,2018,4,2018 Q4,1.3465930627896998,-0.06832677330784637
aok niedersachsen,2019,1,2019 Q1,0.1602851623498365,0.19211737549333358
aok niedersachsen,2019,2,2019 Q2,0.9117416112900527,0.037944100110833524
aok niedersachsen,2019,3,2019 Q3,0.48467072116429916,-0.22444477404676738
aok niedersachsen,2019,4,2019 Q4,1.065002093645785,0.061450198791770876
aok niedersachsen,2020,1,2020 Q1,0.33579996642925153,0.3975444259781588
aok niedersachsen,2020,2,2020 Q2,0.30435157307456384,0.7855153110115317
aok niedersachsen,2020,3,2020 Q3,0.4494448102265005,0.31546769181493267
aok niedersachsen,2020,4,2020 Q4,0.5245981122884215,0.5675994798020783
aok niedersachsen,2021,1,2021 Q1,-0.09000261180481173,0.5029160565018905
aok niedersachsen,2021,2,2021 Q2,0.22502705243253288,0.4082788503777056
aok niedersachsen,2021,3,2021 Q3,0.33448797801767366,0.4483410912117145
aok niedersachsen,2021,4,2021 Q4,0.6738561564610753,0.401971115275965
aok niedersachsen,2022,1,2022 Q1,-0.24706275582938994,0.6772103554383693
aok niedersachsen,2022,2,2022 Q2,0.39888609535835484,0.6799603587687405
aok niedersachsen,2022,3,2022 Q3,0.8655733581281695,0.8344280809115968
aok niedersachsen,2022,4,2022 Q4,1.2425073701648601,0.7490763904506008
aok niedersachsen,2023,1,2023 Q1,0.17796811089445472,0.9010267329421251
aok niedersachsen,2023,2,2023 Q2,0.11565378858364504,1.2870258289885745
aok niedersachsen,2023,3,2023 Q3,0.3367803726205758,1.1763123450804498
aok niedersachsen,2023,4,2023 Q4,0.7324066789054988,0.8401826236454024
aok niedersachsen,2024,1,2024 Q1,-0.134689718974067,0.1699900095356434
aok niedersachsen,2024,2,2024 Q2,0.30476412282333065,0.2645074795832516
aok niedersachsen,2024,3,2024 Q3,0.22837676621617992,0.42027225017092806
aok niedersachsen,2024,4,2024 Q4,0.7013758688321668,0.43005295418634026
aok niedersachsen,2025,1,2025 Q1,-0.24244988982671853,0.3479434086486809
aok nordost,2016,1,2016 Q1,3.714424196951397,-1.4075460481706004
aok nordost,2016,2,2016 Q2,0.665790910590735,-3.1065789121120306
aok nordost,2016,3,2016 Q3,0.39052374754679775,-2.9569899906984274
aok nordost,2016,4,2016 Q4,-0.011543771042621106,-3.2791504054624094
aok nordost,2017,1,2017 Q1,-0.025891090732219173,-0.6568575234901639
aok nordost,2017,2,2017 Q2,0.21128228255930356,-1.1197928587548351
aok nordost,2017,3,2017 Q3,0.30534517710770337,-1.133840334054597
aok nordost,2017,4,2017 Q4,0.2583930143472364,-0.8299844607998534
aok nordost,2018,1,2018 Q1,-0.2315543091477174,-0.39426954735769276
aok nordost,2018,2,2018 Q2,-0.37053121480819984,-0.8404731204139456
aok nordost,2018,3,2018 Q3,-0.23309132855235756,-0.6473851777471125
aok nordost,2018,4,2018 Q4,-0.13134755342105336,0.05200551361466313
aok nordost,2019,1,2019 Q1,-0.11269256496082804,-0.036066008247362016
aok nordost,2019,2,2019 Q2,-0.6620446686520923,0.06939764199078584
aok nordost,2019,3,2019 Q3,-0.43586378583956736,0.1982575751671305
aok nordost,2019,4,2019 Q4,0.06341004678483343,0.21841942162550623
aok nordost,2020,1,2020 Q1,-0.6695736004609725,-0.009334694900864148
aok nordost,2020,2,2020 Q2,-0.4764208958637212,0.1649023947991474
aok nordost,2020,3,2020 Q3,0.03390773313493106,0.13319930756713647
aok nordost,2020,4,2020 Q4,-0.43953057910044707,0.20064277734187178
aok nordost,2021,1,2021 Q1,-0.6624174967695101,-0.010154924874210734
aok nordost,2021,2,2021 Q2,-0.39803313142528574,0.14964990514692053
aok nordost,2021,3,2021 Q3,-0.22999161792526943,0.1727234186117655
aok nordost,2021,4,2021 Q4,-0.35429810922243965,0.29131071068594594
aok nordost,2022,1,2022 Q1,-0.7910661443427545,-0.06539916661829061
aok nordost,2022,2,2022 Q2,-0.7555661916926643,0.1617490078838771
aok nordost,2022,3,2022 Q3,0.029706091273962794,0.11772824711404141
aok nordost,2022,4,2022 Q4,0.189147644803232,0.3449030744206862
aok nordost,2023,1,2023 Q1,-0.33938815917253934,-0.08159267882199922
aok nordost,2023,2,2023 Q2,-0.7634786820084747,0.19537554137369917
aok nordost,2023,3,2023 Q3,-0.01773343279688478,0.2192251526501605
aok nordost,2023,4,2023 Q4,-0.28063370887972255,0.2757412636341407
aok nordost,2024,1,2024 Q1,-0.6018008456668942,-0.05152819761321375
aok nordost,2024,2,2024 Q2,-1.7195419977151645,0.11591537722062545
aok nordost,2024,3,2024 Q3,-0.4812886528130972,0.20960293715054013
aok nordost,2024,4,2024 Q4,-0.5631479433268594,0.2692693427885964
aok nordost,2025,1,2025 Q1,-0.8638372865686302,0.12789599071889715
aok nordwest,2016,1,2016 Q1,4.031758078346227,1.0512005654420533
aok nordwest,2016,2,2016 Q2,0.5729331349729635,0.8534282077458201
